DataYear,PeriodLabel,UNITID,Institution,Total,Domestic,International,OutOfState,Source,SourceURL,SourceType
2023,Fall 2023 (IPEDS EF),164632,Benjamin Franklin Cummings Institute of Technology,2643,2633,10,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),164748,Berklee College of Music,8448,5857,2591,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),164872,Boston Architectural College,787,591,196,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2024,Fall 2024,164924,Boston College,15234,13416,1818,,Boston College Fact Book 2024-25,https://www.bc.edu/content/dam/bc1/offices/irp/ir/factbook/factbook_pdfs/FINAL%20FactBook%202024-25.pdf,institutional_official
2024,Fall 2024 official census,164988,Boston University,37737,,,2302,Boston University CDS 2024-25,https://www.bu.edu/asir/files/2026/04/CDS_2024_25-updated-sect-I.pdf,institutional_official
2023,Fall 2023 (IPEDS EF),165112,Bunker Hill Community College,8545,8002,543,754,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),165167,Cambridge College,1952,1864,88,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),165574,Eastern Nazarene College,1151,1133,18,304,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),166018,Emerson College,717,668,49,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),165671,Emmanuel College,2059,2043,16,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2023,Fall 2023 (IPEDS EF),165802,Fisher College,1501,1352,149,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
2025,Fall 2025,166027,Harvard University,24317,17568,6749,1302,Harvard University OIRA Fact Book,https://oira.harvard.edu/factbook/fact-book-enrollment/,institutional_official
2023,Fall 2023 (IPEDS EF),166124,Hebrew College,3035,2940,95,,NCES IPEDS Fall Enrollment (EF),https://nces.ed.gov/ipeds/datacenter/data/EF2023A.zip,ipeds_ef
