unitid,institution_name,control,control_label,finance_form,access_date,source_id,source_url
164368,Hult International Business School,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
164632,Benjamin Franklin Cummings Institute of Technology,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
164748,Berklee College of Music,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
164872,Boston Architectural College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
164924,Boston College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
164988,Boston University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165112,Bunker Hill Community College,1,public,F1A_GASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165167,Cambridge College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165264,Laboure College of Healthcare,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165574,Eastern Nazarene College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165671,Emmanuel College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165802,Fisher College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
165884,Longy School of Music of Bard College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166018,Emerson College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166027,Harvard University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166124,Hebrew College,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166452,Lesley University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166656,Massachusetts College of Pharmacy and Health Sciences,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166674,Massachusetts College of Art and Design,1,public,F1A_GASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
166683,Massachusetts Institute of Technology,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167260,New England Conservatory,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167358,Northeastern University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167376,Quincy College,1,public,F1A_GASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167631,Roxbury Community College,1,public,F1A_GASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167783,Simmons University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
167987,University of Massachusetts Boston,1,public,F1A_GASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
168005,Suffolk University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
168148,Tufts University,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
168847,Wentworth Institute of Technology,2,private_nonprofit,F2_FASB,2026-05-21,SRC-IPEDS-HD,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip
