Year,University,Total,Domestic,International,OutOfState
2004,Boston College,14561,,,2338
2005,Boston College,14829,,,
2006,Boston College,14661,,,2162
2007,Boston College,14621,,,
2008,Boston College,14836,13916,920,2219
2009,Boston College,15036,14082,954,
2010,Boston College,14868,13951,917,2230
2011,Boston College,14754,13754,1000,
2012,Boston College,14605,13538,1067,2135
2013,Boston College,14309,13112,1197,
2014,Boston College,14317,12916,1401,2138
2015,Boston College,14354,12925,1429,
2016,Boston College,14466,12902,1564,2097
2017,Boston College,14628,13047,1581,
2018,Boston College,14720,12989,1731,2097
2019,Boston College,14747,13066,1681,
2020,Boston College,14934,13365,1569,2173
2021,Boston College,15577,13653,1924,
2022,Boston College,15287,13522,1765,2131
2023,Boston College,15280,13433,1847,
2004,Boston University,29596,,,4073
2005,Boston University,30957,,,3909
2006,Boston University,31574,,,3785
2007,Boston University,32053,,,
2008,Boston University,31766,27395,4371,3645
2009,Boston University,31960,27400,4560,3588
2010,Boston University,32727,27885,4842,3877
2011,Boston University,32439,27519,4920,
2012,Boston University,32603,27222,5381,3173
2013,Boston University,32411,26574,5837,
2014,Boston University,32112,25700,6412,3009
2015,Boston University,32158,25236,6922,
2016,Boston University,32695,25256,7439,2658
2017,Boston University,33355,25443,7912,
2018,Boston University,34657,26060,8597,2727
2019,Boston University,33720,24911,8809,2297
2020,Boston University,32718,24676,8042,2286
2021,Boston University,36104,26502,9602,2979
2022,Boston University,36714,26162,10552,2668
2023,Boston University,36624,26156,10468,2302
2004,Harvard University,24648,,,1428
2005,Harvard University,25017,,,
2006,Harvard University,25778,,,1428
2007,Harvard University,25690,,,
2008,Harvard University,26496,22229,4267,1416
2009,Harvard University,27651,22442,5209,
2010,Harvard University,27594,22380,5214,1401
2011,Harvard University,27392,21939,5453,
2012,Harvard University,28147,22386,5761,1380
2013,Harvard University,28297,22363,5934,
2014,Harvard University,28791,24003,4788,1318
2015,Harvard University,29652,23109,6543,1452
2016,Harvard University,29908,23038,6870,1205
2017,Harvard University,31120,24548,6572,1349
2018,Harvard University,31566,24292,7274,1230
2019,Harvard University,31655,24361,7294,1438
2020,Harvard University,30391,23428,6963,1258
2021,Harvard University,31345,23867,7478,1329
2022,Harvard University,30631,22929,7702,1298
2023,Harvard University,30386,22510,7876,1302
2004,MIT,10320,,,1004
2005,MIT,10206,,,862
2006,MIT,10253,,,892
2007,MIT,10220,,,
2008,MIT,10299,7596,2703,912
2009,MIT,10384,7638,2746,940
2010,MIT,10566,7800,2766,913
2011,MIT,10894,7985,2909,932
2012,MIT,11189,8022,3167,942
2013,MIT,11301,8057,3244,957
2014,MIT,11319,8017,3302,877
2015,MIT,11331,7920,3411,931
2016,MIT,11376,8011,3365,948
2017,MIT,11466,8053,3413,927
2018,MIT,11574,8163,3411,969
2019,MIT,11520,8133,3387,943
2020,MIT,11254,7980,3274,916
2021,MIT,11934,8445,3489,890
2022,MIT,11858,8345,3513,927
2023,MIT,11920,8415,3505,908
2004,Northeastern University,22932,,,
2005,Northeastern University,22604,,,
2006,Northeastern University,23411,,,2825
2007,Northeastern University,24434,,,
2008,Northeastern University,25837,22946,2891,2667
2009,Northeastern University,27537,23826,3711,
2010,Northeastern University,29519,24487,5032,2394
2011,Northeastern University,26959,21304,5655,2303
2012,Northeastern University,27694,21344,6350,2017
2013,Northeastern University,20053,15302,4751,
2014,Northeastern University,19798,14335,5463,2308
2015,Northeastern University,19940,13990,5950,
2016,Northeastern University,20381,13875,6506,2186
2017,Northeastern University,21489,14430,7059,
2018,Northeastern University,21627,14592,7035,1979
2019,Northeastern University,22207,15008,7199,2488
2020,Northeastern University,22905,16218,6687,2682
2021,Northeastern University,28167,18578,9589,4046
2022,Northeastern University,30013,19206,10807,2204
2023,Northeastern University,31159,19013,12146,
2004,UMass Boston,8299,,,1399
2005,UMass Boston,8549,,,
2006,UMass Boston,8756,,,1701
2007,UMass Boston,9080,,,1875
2008,UMass Boston,9155,8893,262,1662
2009,UMass Boston,9302,9033,269,1414
2010,UMass Boston,9432,9171,261,1422
2011,UMass Boston,9225,8928,297,1316
2012,UMass Boston,9210,8841,369,1482
2013,UMass Boston,9053,8564,489,1302
2014,UMass Boston,9111,8515,596,1466
2015,UMass Boston,8916,8303,613,1384
2016,UMass Boston,8647,8056,591,1301
2017,UMass Boston,8406,7885,521,1263
2018,UMass Boston,8513,8050,463,1360
2019,UMass Boston,8154,7738,416,1253
2020,UMass Boston,7869,7548,321,1227
2021,UMass Boston,7717,7404,313,1240
2022,UMass Boston,7457,7043,414,1186
2023,UMass Boston,7759,7031,728,1214
